proj,agent,model,turns,tok,out,reads,dup_before,dup_after,final,mins
-Code-ChessBot,CampaignInfra,claude-opus-5,639,238056891,656622,16,0,0,3543,653.8
-Code-ChessBot,DefenseTrace,claude-opus-5,437,196497857,614979,21,0,0,8608,318.3
-Code-ChessBot,FieldEstimator,claude-opus-5,433,174000108,487489,5,1,1,8387,246.1
-Code-ChessBot,TeacherProtocol,claude-opus-5,332,143515650,498694,16,1,1,8066,585.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,p06-draft,claude-fable-5,273,123698847,339821,18,0,1,5817,98.5
-Code-ChessBot,PanelBank,gpt-6-astra,353,99958291,283840,63,3,0,1696,702.6
-Code-ChessBot,Endgames,claude-opus-5,286,89028233,277143,17,1,0,2437,104.5
-Code-ChessBot,HarnessLane,claude-opus-5,270,86563736,252683,21,0,0,8082,77.0
-Code-ChessBot,FieldQuant,claude-opus-5,269,73897526,200643,22,1,0,2084,115.0
-Code-ChessBot-worktrees-campaign-2800,TrainScreen,claude-opus-5,288,69111096,190779,22,2,0,7622,636.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch3Math,claude-opus-5,203,63047233,143506,74,1,2,1378,45.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch3Analyses,claude-opus-5,190,61937445,139174,22,0,0,3358,40.3
-Code-ChessBot,NNUETrainProper,claude-opus-5,242,57489490,196945,13,2,0,7003,122.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LaneC,claude-fable-5-1,168,53853814,191262,45,0,0,4454,42.6
-Code-ChessBot,OwnMoves,claude-opus-5,252,51662765,196316,14,1,1,5918,81.7
-Code-ChessBot,LeaderLab,claude-opus-5,225,51091097,202418,14,3,0,3715,122.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch3Instrument,claude-opus-5,164,50373043,135804,16,0,0,4055,31.0
-Code-ChessBot,ChatGptRelayRebuild,claude-fable-5-1,203,50279581,194762,29,0,0,7397,40.7
-Code-ChessBot,FrontierLane,gpt-6-astra,225,48708626,111450,44,3,0,10367,313.1
-Code-ChessBot,SequentialVerifier,claude-opus-5,197,46585053,137044,11,8,1,1652,44.6
-Code-ChessBot,CudaPipeline,gpt-5.6-sol,348,45676653,95117,19,0,0,445,191.8
-Code-ChessBot-worktrees-campaign-2800,ResourceLane,claude-opus-5,212,42477347,200908,9,0,0,4959,164.4
-Code-ChessBot,NNUEEval,claude-opus-5,182,41546474,208871,13,0,0,0,82.9
-Code-ChessBot,ReplayLab,claude-opus-5,208,40572069,198592,9,1,0,8012,131.9
-Code-ChessBot,compiled-qualification,gpt-6-astra,296,40275032,135065,58,4,0,260,140.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,TraceA,claude-fable-5-1,151,39744809,155460,29,1,0,2697,41.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch2Round3Build,claude-fable-5-1,137,36444098,149722,34,6,1,5504,142.8
-Code-ChessBot,ValidateTool,claude-fable-5-1,177,36346660,123731,27,2,6,141,849.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,DesignS4Estimator,claude-opus-5,148,35702911,175189,26,2,0,2669,53.4
-Code-ChessBot,NNUEIntegrate,claude-opus-5,180,33963049,155887,12,0,0,17777,152.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FinalNovelty7,claude-opus-5,141,33673245,155604,6,1,0,5593,47.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,DesignS2Collection,claude-opus-5,147,32195362,178331,22,3,0,2369,41.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FinanceSources,claude-opus-5,90,31098869,50300,53,2,0,12042,39.3
-Code-ChessBot,NativePanelBundle,claude-opus-5,169,30306946,124314,6,1,0,9249,35.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LearnedFeedback,claude-fable-5-1,151,29720168,146431,22,1,0,2764,80.0
-Code-ChessBot,AuthorityReview,gpt-5.6-sol,252,29160176,71584,29,12,17,32,58.5
-Code-ChessBot,NumbaAcc,claude-fable-5-1,194,28421435,81780,17,3,2,3712,742.1
--private-tmp--,ArenaExposure,claude-opus-5,160,28305651,138369,10,0,0,2468,50.4
-Code-ChessBot,CheckpointGates,claude-opus-5,159,28230773,121138,10,0,0,15116,26.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LaneA3,claude-fable-5-1,118,27840418,103287,26,0,0,166,41.9
-Code-ChessBot,LabelStockfish,gpt-5.6-sol,228,27085018,100701,31,0,2,300,71.6
-Code-ChessBot,RefereeLane,claude-opus-5,132,26924811,140352,12,1,0,3648,33.3
-Code-ChessBot,Day2Report,claude-fable-5-1,116,26439915,135213,19,5,1,3455,58.7
-Code-ChessBot,ArenaMeasurement,claude-opus-5,166,25537890,127102,7,5,1,9408,117.2
-Code-ChessBot,compiled-deadline,gpt-6-astra,193,25463130,144019,46,2,0,460,137.5
-Code-ChessBot,CoreC,claude-fable-5-1,120,25344222,193828,19,0,0,3743,51.4
-Code-ChessBot,compiled-linux-runtime,claude-opus-5,188,25319205,109669,12,1,0,4291,130.5
-Code-ChessBot,AlphaFishSetup,claude-fable-5-1,115,24741622,186439,20,4,2,413,43.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FinalNovelty3,claude-opus-5,117,23432309,104248,10,1,0,32,42.2
-Code-Agentic Obsidian Vault-Agentic-dissertation,NotebookBuilder,claude-fable-5,105,22897768,155948,15,1,1,713,48.3
-Code-ChessBot,DrawUtility,claude-opus-5,101,22686335,112587,12,0,0,8973,47.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,HarmoniseBenchmark,claude-opus-5,105,22305826,86517,6,0,1,5862,20.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,DesignS1Design,claude-opus-5,109,21364505,171267,16,1,0,2141,49.3
-Code-ChessBot,DataEnforcement,claude-opus-5,118,21158153,134627,15,0,0,11369,30.3
-Code-ChessBot,FusionSearch,claude-opus-5,119,21128544,123901,8,0,0,5962,81.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,DesignS5Interval,claude-opus-5,109,21101958,139068,19,4,0,67,45.3
-Code-ChessBot,NumbaSpike,claude-fable-5-1,126,20732800,127485,22,0,0,10524,67.1
-Code-Agentic Obsidian Vault-Agentic-dissertation,Ch1Redo,claude-fable-5,95,20670106,123212,23,1,0,2609,168.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,AttackBaseline,claude-opus-5,110,19471400,115225,21,2,0,7395,34.5
-Code-ChessBot,PersistenceLifecycle,gpt-5.6-sol,182,19463475,54806,10,4,10,1976,25.3
-Code-ChessBot,FixRound6Confirm,claude-fable-5-1,97,19390960,89117,10,4,1,13295,139.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,DesignS6Reanalyses,claude-opus-5,95,19231833,179572,18,1,0,1846,52.6
-Code-ChessBot,compiled-draw-regressions,claude-opus-5,107,19081647,91762,11,3,1,8322,44.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MarkerBuild,claude-fable-5-1,103,19048286,108029,15,1,2,4144,79.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FinalNovelty4,claude-opus-5,84,18911468,83383,27,1,0,5954,49.1
-Code-ChessBot,RuntimePacket,claude-opus-5,119,18896130,100585,15,0,0,2454,31.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,round31-patch,claude-fable-5,92,18593274,143944,15,0,1,2788,76.7
-Code-ChessBot,DataMassCompletion,claude-opus-5,110,18580032,114085,7,0,2,9314,30.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LaneB3,claude-fable-5-1,100,18474114,87747,19,0,0,1091,20.1
