model,samples,tok_per_s,ttft_s
anthropic/claude-fable-5,469.0,76.4,1.9
fireworks/glm-5.3,224.0,65.0,2.2
fireworks/kimi-k3,202.0,52.2,1.8
openai-codex/gpt-5.6-terra,199.03125,41.1,2.4
anthropic/claude-opus-5,198.0,77.1,1.7
openrouter/deepseek/deepseek-v4-pro,193.0,42.9,3.3
openai-codex/gpt-6-astra,167.0,22.8,3.8
anthropic/claude-fable-5-1,161.0,74.0,2.1
openai-codex/gpt-5.6-luna,157.0,45.8,2.1
anthropic/claude-opus-4-8,146.25,70.7,2.5
openrouter/x-ai/grok-4.6,136.0,51.5,4.2
openai-codex/gpt-5.6-sol,134.00000000186265,41.0,2.3
openrouter/stealth/union-alpha,74.0,31.7,13.7
openrouter/moonshotai/kimi-k3,50.0,31.5,9.1
zai/glm-5.3,43.0,41.6,5.9
google-antigravity/gemini-3.1-pro,42.0,115.3,7.0
anthropic/claude-sonnet-5,13.0,91.6,2.9
zai/glm-5.3-flash,13.0,34.5,4.3
anthropic/claude-haiku-4-5,12.0,110.9,1.2
anthropic/claude-opus-4-5,11.0,42.9,2.5
openai-codex/gpt-5.5,11.0,53.6,2.8
openai-codex/gpt-5.4,9.0,53.6,1.7
anthropic/claude-opus-4-7,6.0,41.7,5.4
openrouter/openai/gpt-5.6-sol,4.0,33.6,2.2
openrouter/deepseek/deepseek-v4-flash,2.0,3.6,1.4
openai-codex/gpt-5.4-mini,1.0,9.9,0.9
fireworks/kimi-k2.7-code,1.0,21.6,7.5
openrouter/openai/gpt-6-astra,1.0,20.0,15.0
