model,endpoint,in_per_M,out_per_M,cache_read_per_M,ctx,quant,uptime_30m_pct
z-ai/glm-5.3,Reka,0.8775,2.97,0.1755,262144,fp8,98.6
z-ai/glm-5.3,Morph,0.8925,2.805,0.1466,1048576,fp8,98.4
z-ai/glm-5.3,DeepInfra,0.9,3.0,0.15,1048576,fp4,96.2
z-ai/glm-5.3,Novita,0.91,2.86,0.169,1048576,fp8,99.2
z-ai/glm-5.3,Io Net,0.91,3.08,0.182,262124,fp8,99.6
z-ai/glm-5.3,Phala,1.05,3.3,0.195,1048576,unknown,99.8
z-ai/glm-5.3,GMICloud,1.05,3.3,0.195,1048576,fp8,0
z-ai/glm-5.3,Makora,1.05,4.2,0.19,980000,fp4,97.3
z-ai/glm-5.3,Inceptron,1.0641,4.07,0.1771,1048576,fp4,99.9
z-ai/glm-5.3,DigitalOcean,1.078,3.388,0.2002,1048576,unknown,99.3
z-ai/glm-5.3,SiliconFlow,1.12,3.52,0.208,1048576,fp8,100
z-ai/glm-5.3,Sail Research,1.13,3.55,0.2,1048576,fp8,100
z-ai/glm-5.3,Sail Research,1.13,3.55,0.2,1048576,fp8,100
z-ai/glm-5.3,Decart,1.19,3.74,0.1955,1048576,fp4,99.6
z-ai/glm-5.3,Friendli,1.26,3.96,0.234,1048576,unknown,100
z-ai/glm-5.3,AkashML,1.3,4.4,0.26,1048576,fp8,100
z-ai/glm-5.3,BaseTen,1.4,4.4,0.14,1048576,fp4,100
z-ai/glm-5.3,Mistral,1.4,4.4,0.14,1048576,nvfp4,0
z-ai/glm-5.3,Alibaba,1.4,4.4,0.28,1000000,unknown,100
z-ai/glm-5.3,Baidu,1.4,4.4,0.26,1048576,fp8,0
z-ai/glm-5.3,Crusoe,1.4,4.4,0.26,1048576,fp4,86.3
z-ai/glm-5.3,Wafer,1.4,4.4,0.26,1048576,unknown,99.7
z-ai/glm-5.3,Venice,1.4,4.4,0.26,1000000,unknown,0
z-ai/glm-5.3,Together,1.4,4.4,0.26,1048575,unknown,91.8
z-ai/glm-5.3,Parasail,1.4,4.4,0.26,1048576,fp8,99.2
z-ai/glm-5.3,Modal,1.4,4.4,0.26,1048576,unknown,99.8
z-ai/glm-5.3,BaseTen,1.4,4.4,0.14,1048576,fp4,100
z-ai/glm-5.3,Fireworks,1.4,4.4,0.26,1048576,unknown,100
z-ai/glm-5.3,Cloudflare,1.4,4.4,0.26,1310720,unknown,0
z-ai/glm-5.3,AtlasCloud,1.4,4.4,0.26,1048576,fp8,100
z-ai/glm-5.3,Z.AI,1.4,4.4,0.26,1048576,fp8,99.1
z-ai/glm-5.3,BaseTen,2.1,6.6,0.21,1048576,fp8,100
z-ai/glm-5.3,BaseTen,2.1,6.6,0.21,1048576,fp8,100
z-ai/glm-5.3-flash,DeepInfra,0.075,0.25,0.015,1048576,fp4,98.5
z-ai/glm-5.3-flash,InferenceNet,0.09,0.28,0.02,1048576,fp4,95.6
z-ai/glm-5.3-flash,Relace,0.09,0.3,0.018,1048576,unknown,99.9
z-ai/glm-5.3-flash,Wafer,0.1,0.35,0.02,1048576,unknown,99.8
