model,projected_usd_14d,provider,key,ctx,in,out,cache_read,release,reasoning
deepseek-v4-flash,47,nanogpt,deepseek/deepseek-v4-flash,1048576,0.14,0.28,0.0028,2026-04-24,True
deepseek-v4.1-flash,62,nanogpt,deepseek/deepseek-v4.1-flash,1000000,0.15,0.6,0.003,2026-09-10,True
deepseek-v4-pro,102,deepseek,deepseek-v4-pro,1000000,0.435,0.87,0.003625,2026-08-12,True
mimo-v2.5-pro,102,nanogpt,xiaomi/mimo-v2.5-pro,1048576,0.435,0.87,0.0036,2026-04-22,True
glm-5.3-flash,144,nanogpt,z-ai/glm-5.3-flash,1048576,0.075,0.25,0.015,2026-08-26,True
gpt-luna-latest,234,amazon-bedrock,global.openai.gpt-5.6-luna,1050000,0.2,1.2,0.02,2026-07-09,True
omen-alpha,384,opencode-go,omen-alpha,500000,0.2,0.66,0.04,2026-09-04,True
hy4,527,kilo,tencent/hy4-preview,1048576,0.834,2.501,0.042,2026-08-28,True
minimax-m3,584,kilo,minimax/minimax-m3,524288,0.3,1.2,0.06,2026-06-01,True
gemini-3.8-flash,848,github-copilot,gemini-3.8-flash,1000000,0.75,3.75,0.075,2026-09-02,True
gemini-3.x-pro,1169,kilo,google/gemini-3.1-pro-preview,1048576,1,6,0.1,2026-02-19,True
glm-5.3,1486,baseten,zai-org/GLM-5.3,1048576,1.4,4.4,0.14,2026-08-14,True
muse-spark-1.3,1552,kilo,meta/muse-spark-1.3,1048576,1.25,4.25,0.15,2026-09-02,True
qwen3.8-max,1856,nanogpt,alibaba/qwen3.8-max-0902,991808,2,6,0.17,2026-09-02,True
gpt-sol-latest,2262,kilo,~openai/gpt-sol-latest,1050000,2,10,0.2,2026-09-11,True
kimi-k3,2262,nanogpt,moonshotai/kimi-k3,1048576,2,10,0.2,2026-07-16,True
gpt-terra-latest,2337,amazon-bedrock,global.openai.gpt-5.6-terra,1050000,2,12,0.2,2026-07-09,True
fugu-max,2539,kilo,sakana/fugu-max,1000000,2,6,0.25,2026-09-11,True
grok-4.6,4673,amazon-bedrock,global.xai.grok-4.6,500000,2,6,0.5,2026-08-12,True
claude-fable-5.1,4907,amazon-bedrock,anthropic.claude-fable-5-1,1000000,10,50,0.25,2026-09-01,True
claude-opus-5,5655,amazon-bedrock,anthropic.claude-opus-5,1000000,5,25,0.5,2026-07-24,True
fugu-ultra-v2,5843,kilo,sakana/fugu-ultra-v2,1000000,5,30,0.5,2026-09-11,True
gpt-6-astra,11310,amazon-bedrock,global.openai.gpt-6-astra,1050000,10,50,1,2026-09-04,True
