projected_usd_14d,provider,omp_supported,model_key,in_per_M,out_per_M,cache_read_per_M,ctx,max_out
62,cline-pass,-,cline-pass/deepseek-v4.1-flash,0.15,0.6,0.003,1000000,384000
62,llmgateway,-,deepseek-v4.1-flash,0.15,0.6,0.003,1050000,384000
62,llmgateway-providers,-,deepseek/deepseek-v4.1-flash,0.15,0.6,0.003,1050000,393216
62,merge-gateway,-,deepseek/deepseek-v4.1-flash,0.15,0.6,0.003,1000000,384000
62,nano-gpt,Y,deepseek/deepseek-v4.1-flash,0.15,0.6,0.003,1000000,384000
62,nano-gpt,Y,deepseek/deepseek-v4.1-flash:thinking,0.15,0.6,0.003,1000000,384000
62,opencode-go,Y,deepseek-v4.1-flash,0.15,0.6,0.003,1000000,384000
62,openrouter,Y,deepseek/deepseek-v4.1-flash,0.15,0.6,0.003,1048576,384000
64,aihubmix,-,deepseek-v4.1-flash,0.155,0.62,0.0031,1000000,384000
92,deepinfra,-,deepseek-ai/DeepSeek-V4.1-Flash,0.2,0.6,0.006,1048576,384000
92,edenai,-,deepinfra/deepseek-ai/DeepSeek-V4.1-Flash,0.2,0.6,0.006,1048576,384000
92,llmgateway-providers,-,deepinfra/deepseek-v4.1-flash,0.2,0.6,0.006,1048576,393216
104,llmgateway-providers,-,fireworks/deepseek-v4.1-flash,0.22,0.66,0.007,1048576,393216
111,crossmodel,-,deepseek/deepseek-v4.1-flash,0.27,1.08,0.0054,1000000,384000
123,edenai,-,together_ai/deepseek-ai/DeepSeek-V4.1-Flash,0.3,1.2,0.006,1048576,384000
123,kilo,Y,deepseek/deepseek-v4.1-flash,0.3,1.2,0.006,1048576,384000
123,llmgateway-providers,-,novita/deepseek-v4.1-flash,0.3,1.2,0.006,1048576,393216
123,llmgateway-providers,-,together-ai/deepseek-v4.1-flash,0.3,1.2,0.006,1048576,393216
123,ofox,-,deepseek/deepseek-v4.1-flash,0.3,1.2,0.006,1000000,384000
123,togetherai,-,deepseek-ai/DeepSeek-V4.1-Flash,0.3,1.2,0.006,1048576,384000
123,vercel,-,deepseek/deepseek-v4.1-flash,0.3,1.2,0.006,1048576,393216
180,greenpt,-,deepseek-v4.1-flash,0.255552,1.27776,0.0127776,1000000,384000
328,baseten,Y,deepseek-ai/DeepSeek-V4.1-Flash,0.3,1.2,0.03,1048576,32768
328,hyper,-,deepseek-v4.1-flash,0.3,1.2,0.03,1048576,26214
528,requesty,-,deepseek-v4.1-flash,0.5,1.5,0.05,1048576,393216
528,requesty,-,deepseek-v4.1-flash@eu,0.5,1.5,0.05,1048576,393216
2633,huggingface,Y,deepseek-ai/DeepSeek-V4.1-Flash,0.3,1.2,,1048576,384000
