projected_usd_14d,provider,omp_supported,model_key,in_per_M,out_per_M,cache_read_per_M,ctx,max_out
0,nan,-,glm5.3,0,0,,1000000,131072
0,scnet-token-plan,-,GLM-5.3,0,0,0,1000000,131072
0,tokenrouter,-,z-ai/glm-5.3-free,0,0,,1000000,131072
0,volcengine-coding-plan,-,glm-5.3,0,0,0,1000000,131072
0,zai-coding-plan,-,glm-5.3,0,0,0,1000000,131072
0,zai-coding-plan,-,glm-5.3-highspeed,0,0,0,1000000,131072
0,zhipuai-coding-plan,Y,glm-5.3,0,0,0,1000000,131072
0,zhipuai-coding-plan,Y,glm-5.3-highspeed,0,0,0,1000000,131072
265,coralbricks,-,glm-5.3-fp4,1.12,4.4,0,1048576,131072
601,crof,-,glm-5.3,0.4,1.4,0.06,1000000,131072
1255,merge-gateway,-,zai/glm-5.3,0.7,2.2,0.13,1000000,131072
1282,deepinfra,-,zai-org/GLM-5.3,1.2,4,0.12,1048576,131072
1486,baseten,Y,zai-org/GLM-5.3,1.4,4.4,0.14,1048576,262144
1486,vercel,-,zai/glm-5.3,1.4,4.4,0.14,1000000,1000000
1537,neuralwatt,-,glm-5.3,1.45,4.5,0.145,1048560,1048560
1917,nano-gpt,Y,z-ai/glm-5.3,1,3.2,0.2,1048576,131072
1917,nano-gpt,Y,z-ai/glm-5.3:thinking,1,3.2,0.2,1048576,131072
1920,digitalocean,-,glm-5.3,0.95,3.4,0.2,1048576,128000
1958,openrouter,Y,z-ai/glm-5.3,1.092,3.432,0.2028,1310720,131072
1965,llmgateway,-,glm-5.3,1.2,4,0.2,1048576,131072
1965,llmgateway-providers,-,runware/glm-5.3,1.2,4,0.2,1000000,131072
1976,privatemode-ai,-,glm-5.3,1.791,8.9436,0.1733,256000,131072
2008,vancine,-,glm-5.3,1.12,3.52,0.208,1000000,131072
2259,orcarouter,-,z-ai/glm-5.3,1.26,3.96,0.234,1000000,131072
2485,requesty,-,glm-5.3,1.2,4.2,0.26,1048576,1048576
2485,requesty,-,glm-5.3@eu,1.2,4.2,0.26,1048576,1048576
2485,vivgrid,-,glm-5.3,1.2,4.2,0.26,1000000,131072
2510,cline-pass,-,cline-pass/glm-5.3,1.4,4.4,0.26,1000000,131072
2510,cloudflare-workers-ai,-,@cf/zai-org/glm-5.3,1.4,4.4,0.26,1310720,1310720
2510,edenai,-,zai/glm-5.3,1.4,4.4,0.26,1048576,131072
2510,friendli,-,zai-org/GLM-5.3,1.4,4.4,0.26,1048576,1048576
2510,kilo,Y,z-ai/glm-5.3,1.4,4.4,0.26,1048576,131072
2510,llmgateway-providers,-,baidu/glm-5.3,1.4,4.4,0.26,1048576,131072
2510,llmgateway-providers,-,novita/glm-5.3,1.4,4.4,0.26,1048576,131072
2510,llmgateway-providers,-,scx-ai-gp/glm-5.3,1.4,4.4,0.26,1000000,128000
2510,llmgateway-providers,-,vichar-ai/glm-5.3,1.4,4.4,0.26,1048000,128000
2510,llmgateway-providers,-,zai/glm-5.3,1.4,4.4,0.26,1000000,128000
2510,nano-gpt,Y,TEE/glm-5.3,1.4,4.4,0.26,1048576,131072
2510,ofox,-,z-ai/glm-5.3,1.4,4.4,0.26,1000000,131072
2510,opencode,-,glm-5.3,1.4,4.4,0.26,1000000,131072
2510,opencode-go,Y,glm-5.3,1.4,4.4,0.26,1000000,131072
2510,togetherai,-,zai-org/GLM-5.3,1.4,4.4,0.26,1048576,262144
2510,tokengo,-,z-ai/glm-5.3,1.4,4.4,0.26,1000000,131072
2510,zai,Y,glm-5.3,1.4,4.4,0.26,1000000,131072
2510,zhipuai,-,glm-5.3,1.4,4.4,0.26,1000000,131072
2628,cortecs,-,glm-5.3,1.114,3.899,0.279,1048576,1048576
2654,aihubmix,-,glm-5.3,1.1268,3.9438,0.2817,1000000,128000
2733,hyper,-,glm-5.3,1.52432,4.79072,0.283088,1048576,262144
2801,aiand,Y,zai-org/glm-5.3,1,4,0.3,1048576,131072
2834,crossmodel,-,z-ai/glm-5.3,1.2,4.4,0.3,1000000,128000
3033,greenpt,-,glm-5.3,1.27754,5.11016,0.319385,1000000,131072
12244,302ai,-,glm-5.3,1.4,4.4,,1000000,131072
12244,huggingface,Y,zai-org/GLM-5.3,1.4,4.4,,1048576,131072
15043,bothub,-,glm-5.3,1.72,5.41,,1000000,131072
