projected_usd_14d,provider,omp_supported,model_key,in_per_M,out_per_M,cache_read_per_M,ctx,max_out
0,nan,-,glm5.3-flash,0,0,,1000000,131072
0,nvidia,Y,z-ai/glm-5.3-flash,0,0,,1000000,131072
0,orcarouter,-,z-ai/glm-5.3-flash-free,0,0,,1000000,128000
0,scnet-token-plan,-,GLM-5.3-Flash,0,0,0,1000000,131072
0,volcengine-coding-plan,-,glm-5.3-flash,0,0,0,1000000,131072
0,zai-coding-plan,-,glm-5.3-flash,0,0,0,1000000,131072
0,zhipuai-coding-plan,Y,glm-5.3-flash,0,0,0,1000000,131072
29,merge-gateway,-,zai/glm-5.3-flash,0.015,0.05,0.003,1000000,131072
100,crof,-,glm-5.3-flash,0.07,0.22,0.01,1000000,131072
109,runinfra,-,zai-org/GLM-5.3-Flash,0.1,0.4,0.01,1048576,32768
115,vancine,-,glm-5.3-flash,0.06,0.2,0.012,1000000,131072
136,tokengo,-,z-ai/glm-5.3-flash,0.075,0.025,0.015,1000000,131072
144,nano-gpt,Y,z-ai/glm-5.3-flash,0.075,0.25,0.015,1048576,131072
144,openrouter,Y,z-ai/glm-5.3-flash,0.075,0.25,0.015,1310720,131072
144,zai,Y,glm-5.3-flash,0.075,0.25,0.015,1000000,131072
144,zhipuai,-,glm-5.3-flash,0.075,0.25,0.015,1000000,131072
176,cortecs,-,glm-5.3-flash,0.1,0.35,0.018,1048576,1048576
189,llmgateway-providers,-,consensusprotocol/glm-5.3-flash,0.1,0.25,0.02,1048576,131072
231,llmgateway,-,glm-5.3-flash,0.088,0.25,0.025,1048576,131072
231,llmgateway-providers,-,scx-ai-gp/glm-5.3-flash,0.088,0.25,0.025,1048576,131072
249,greenpt,-,glm-5.3-flash,0.127754,0.511016,0.0255508,1000000,131072
265,aihubmix,-,glm-5.3-flash,0.11268,0.39438,0.02817,1000000,128000
288,cline-pass,-,cline-pass/glm-5.3-flash,0.15,0.5,0.03,1000000,131072
288,cloudflare-workers-ai,-,@cf/zai-org/glm-5.3-flash,0.15,0.5,0.03,1310720,1048576
288,crossmodel,-,z-ai/glm-5.3-flash,0.15,0.5,0.03,1000000,128000
288,deepinfra,-,zai-org/GLM-5.3-Flash,0.15,0.5,0.03,1048576,131072
288,digitalocean,-,glm-5.3-flash,0.15,0.5,0.03,1048576,1048576
288,edenai,-,zai/glm-5.3-flash,0.15,0.5,0.03,1048576,131072
288,kilo,Y,z-ai/glm-5.3-flash,0.15,0.5,0.03,1048576,131072
288,llmgateway-providers,-,novita/glm-5.3-flash,0.15,0.5,0.03,1048576,131072
288,llmgateway-providers,-,runware/glm-5.3-flash,0.15,0.5,0.03,1000000,131072
288,llmgateway-providers,-,vichar-ai/glm-5.3-flash,0.15,0.5,0.03,1048000,128000
288,llmgateway-providers,-,zai/glm-5.3-flash,0.15,0.5,0.03,1048576,131072
288,nano-gpt,Y,TEE/glm-5.3-flash,0.15,0.5,0.03,1048576,131072
288,ofox,-,z-ai/glm-5.3-flash,0.15,0.5,0.03,1000000,131072
288,opencode,-,glm-5.3-flash,0.15,0.5,0.03,1000000,131072
288,opencode-go,Y,glm-5.3-flash,0.15,0.5,0.03,1000000,131072
288,togetherai,-,zai-org/GLM-5.3-Flash,0.15,0.5,0.03,1048575,400000
288,vercel,-,zai/glm-5.3-flash,0.15,0.5,0.03,1000000,131000
305,hyper,-,glm-5.3-flash,0.16332,0.5444,0.031575,1048576,131072
308,above,-,glm-5.3-flash,0.165,0.55,0.0319,1000000,131072
374,synthetic,Y,hf:zai-org/GLM-5.3-Flash,0.15,0.5,0.04,524288,65536
374,vivgrid,-,glm-5.3-flash,0.15,0.5,0.04,1000000,131072
459,wandb,-,zai-org/GLM-5.3-Flash,0.15,0.5,0.05,1048576,1048576
638,requesty,-,glm-5.3-flash,0.2,0.6,0.07,1000000,262144
638,requesty,-,glm-5.3-flash@eu,0.2,0.6,0.07,1000000,262144
656,302ai,-,glm-5.3-flash,0.075,0.25,,1000000,131072
656,orcarouter,-,z-ai/glm-5.3-flash,0.075,0.25,,1000000,128000
865,modal,-,zai-org/GLM-5.3-Flash,0.45,1.5,0.09,1000000,131072
1052,bothub,-,glm-5.3-flash,0.12,0.44,,1000000,131072
1313,baseten,Y,zai-org/GLM-5.3-Flash,0.15,0.5,,1048576,131072
1313,huggingface,Y,zai-org/GLM-5.3-Flash,0.15,0.5,,1048576,131072
1313,nebius,-,zai-org/GLM-5.3-Flash,0.15,0.5,0.15,1024000,1024000
1578,nano-gpt,Y,z-ai/glm-5.3-flash-uncensored,0.35,1.4,0.175,1048576,32768
2524,berget,-,zai-org/GLM-5.3-Flash,0.29,0.58,,524288,16384
